PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
47196,0,0,49.38062286376953,11026.853000000001,7153.633000000001,0,0,0,0
47197,0,0,49.34562301635742,11037.989,7152.036,0,0,0,0
47198,0,0,49.35874938964844,11036.128999999999,7153.696999999999,0,0,0,0
47199,0,0,49.268123626708984,11038.344,7153.258000000001,0,0,0,0
47200,0,0,49.27750015258789,11035.893999999998,7153.2480000000005,0,0,0,0
47201,0,0,49.27124786376953,11038.419,7154.906,0,0,0,0
47202,0,0,49.35874938964844,11037.167,7154.831,0,0,0,0
47203,0,0,49.27124786376953,11038.526000000002,7154.243,0,0,0,0
47204,0,0,49.244998931884766,11037.798,7155.227,0,0,0,0
47205,0,0,49.229373931884766,11038.098,7155.227,0,0,0,0
47206,0,0,49.19124984741211,11097.595,7119.951999999999,0,0,0,0
47207,0,0,49.13312530517578,11090.534,7124.703,0,0,0,0
47208,0,0,49.057498931884766,11085.184,7128.276,0,0,0,0
47209,0,0,49.18937301635742,11079.792,7131.743,0,0,0,0
47210,0,0,49.553123474121094,11033.85,7137.905,0,0,0,0
47211,0,0,49.50124740600586,11035.883,7139.938,0,0,0,0
47212,0,0,49.22687530517578,11064.835,7141.456999999999,0,0,0,0
47213,0,0,49.147499084472656,11068.044,7139.425,0,0,0,0
47214,0,0,49.10187530517578,11073.308,7136.085999999999,0,0,0,0
47215,0,0,49.27687454223633,11054.178,7147.791,0,0,0,0
47216,0,0,49.261871337890625,11056.296999999999,7146.7,0,0,0,0
47217,0,0,49.18437194824219,11060.277,7144.218000000001,0,0,0,0
47218,0,0,49.27687454223633,11041.348999999998,7145.706,0,0,0,0
47219,0,0,49.34124755859375,11039.649,7144.089,0,0,0,0
47220,0,0,49.51249694824219,11032.833999999999,7144.581999999999,0,0,0,0
47221,0,0,49.47812271118164,11031.657,7146.529,0,0,0,0
47222,0,0,49.44062423706055,11034.76,7146.775,0,0,0,0
47223,0,0,49.23062515258789,11043.116000000002,7147.385,0,0,0,0
47224,0,0,49.244998931884766,11042.698,7146.988,0,0,0,0
47225,0,0,49.430625915527344,11032.726999999999,7148.262,0,0,0,0
47226,0,0,49.40812301635742,11035.787,7148.23,0,0,0,0
47227,0,0,49.3224983215332,11036.053999999998,7148.776,0,0,0,0
47228,0,0,49.291873931884766,11046.625,7148.669,0,0,0,0
47229,0,0,49.24625015258789,11044.411,7147.9619999999995,0,0,0,0
47230,0,0,49.203125,11044.892,7148.1759999999995,0,0,0,0
47231,0,0,49.33937454223633,11048.123,7148.776,0,0,0,0
47232,0,0,49.29750061035156,11050.177,7148.797,0,0,0,0
47233,0,0,49.18499755859375,11053.173,7148.090999999999,0,0,0,0
47234,0,0,49.420623779296875,11033.818000000001,7149.974,0,0,0,0
47235,0,0,49.39875030517578,11026.126,7151.536,0,0,0,0
47236,0,0,49.48999786376953,11024.777,7148.84,0,0,0,0
47237,0,0,49.498748779296875,11023.001,7145.972,0,0,0,0
47238,0,0,49.48562240600586,11030.896999999999,7145.3730000000005,0,0,0,0
47239,0,0,49.53187561035156,11029.945,7143.811,0,0,0,0
47240,0,0,49.55187225341797,11031.486,7143.084,0,0,0,0
47241,0,0,49.55812454223633,11029.795,7142.784000000001,0,0,0,0
47242,0,0,49.55812454223633,11029.999,7142.526999999999,0,0,0,0
47243,0,0,49.55875015258789,11030.393999999998,7142.451999999999,0,0,0,0
47244,0,0,49.55875015258789,11030.919,7142.559,0,0,0,0
47245,0,0,49.140625,11104.163999999999,7115.309,0,0,0,0
47246,0,0,49.165000915527344,11099.841999999999,7118.39,0,0,0,0
47247,0,0,49.194374084472656,11111.483,7110.345,0,0,0,0
47248,0,0,49.193748474121094,11118.287,7105.5509999999995,0,0,0,0
47249,0,0,49.186248779296875,11210.341999999999,7036.1359999999995,0,0,0,0
47250,0,0,49.22687530517578,11210.706,7035.066,0,0,0,0
47251,0,0,49.16374969482422,11211.048,7033.29,0,0,0,0
47252,0,0,49.118125915527344,11211.176000000001,7031.514,0,0,0,0
47253,0,0,49.0625,11210.833999999999,7029.4169999999995,0,0,0,0
47254,0,0,49.0625,11210.875,7029.67,0,0,0,0
47255,0,0,48.9787483215332,11209.756000000001,7026.166,0,0,0,0
47256,0,0,48.9787483215332,11209.7,7026.015,0,0,0,0
47257,0,0,48.990623474121094,11210.341999999999,7027.7480000000005,0,0,0,0
47258,0,0,48.990623474121094,11210.365,7027.826,0,0,0,0
47259,0,0,48.939998626708984,11209.015,7024.346,0,0,0,0
47260,0,0,48.974998474121094,11223.525,7017.849,0,0,0,0
47261,0,0,49.02312469482422,11225.021999999999,7018.562,0,0,0,0
47262,0,0,49.15374755859375,11234.094,7019.445,0,0,0,0
47263,0,0,49.16812515258789,11231.803999999998,7019.766,0,0,0,0
47264,0,0,49.12312316894531,11228.893999999998,7019.659000000001,0,0,0,0
47265,0,0,49.068748474121094,11226.07,7019.06,0,0,0,0
47266,0,0,48.859375,11207.089,7021.2,0,0,0,0
47267,0,0,48.89437484741211,11203.687,7016.685,0,0,0,0
47268,0,0,48.90812301635742,11204.8,7018.204000000001,0,0,0,0
47269,0,0,48.95375061035156,11222.966999999999,7017.584,0,0,0,0
47270,0,0,48.908748626708984,11221.927,7016.658,0,0,0,0
47271,0,0,48.908748626708984,11221.405,7016.193,0,0,0,0
47272,0,0,48.90625,11216.826000000001,7011.164000000001,0,0,0,0
47273,0,0,48.9849967956543,11416.366000000002,6886.004,0,0,0,0
47274,0,0,48.98937225341797,11408.466999999999,6892.041,0,0,0,0
47275,0,0,49.14437484741211,11479.701000000001,6848.924,0,0,0,0
47276,0,0,49.057498931884766,11478.139,6849.33,0,0,0,0
47277,0,0,49.057498931884766,11478.995,6849.266,0,0,0,0
47278,0,0,49.0568733215332,11477.818000000001,6848.945,0,0,0,0
47279,0,0,49.0568733215332,11477.796999999999,6848.196,0,0,0,0
47280,0,0,49.09499740600586,11478.181999999999,6847.704000000001,0,0,0,0
47281,0,0,49.11062240600586,11487.393999999998,6840.61,0,0,0,0
47282,0,0,49.100624084472656,11486.559,6841.3369999999995,0,0,0,0
47283,0,0,49.182498931884766,11490.582,6840.995,0,0,0,0
47284,0,0,49.046875,11487.736,6843.1140000000005,0,0,0,0
47285,0,0,49.053749084472656,11484.43,6842.74,0,0,0,0
47286,0,0,49.133750915527344,11482.483,6844.323,0,0,0,0
47287,0,0,49.11437225341797,11485.693000000001,6844.516,0,0,0,0
47288,0,0,49.11437225341797,11485.115,6844.965,0,0,0,0
47289,0,0,49.088748931884766,11479.766000000001,6846.42,0,0,0,0
47290,0,0,49.06062316894531,11483.232,6846.313,0,0,0,0
47291,0,0,49.140625,11493.278,6838.919,0,0,0,0
