DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
260,1.181,4630,0,0,0,0,0,1.20,1.20
261,1.161,5038,0,0,0,0,0,1.20,1.20
262,1.161,44512,0,0,0,0,0,1.20,1.20
263,1.161,5930,0,0,0,0,0,1.20,1.20
264,1.161,15796,0,0,0,0,0,1.20,1.20
265,1.161,17273,0,0,0,0,0,1.20,1.20
266,0.957,34441,0,0,0,0,0,1.20,1.20
267,0.957,41679,0,0,0,0,0,1.20,1.20
268,0.957,43197,0,0,0,0,0,1.20,1.20
269,0.957,24083,0,0,0,0,0,1.20,1.20
270,1.180,9873,0,0,0,0,0,1.20,1.20
271,1.180,9714,0,0,0,0,0,1.20,1.20
272,1.180,34255,0,0,0,0,0,1.20,1.20
273,1.180,17789,0,0,0,0,0,1.20,1.20
274,1.180,28113,0,0,0,0,0,1.20,1.20
275,1.180,30280,0,0,0,0,0,1.20,1.20
276,1.180,11430,0,0,0,0,0,1.20,1.20
277,1.180,44322,0,0,0,0,0,1.20,1.20
278,1.041,40449,0,0,0,0,0,1.20,1.20
279,1.041,34550,0,0,0,0,0,1.20,1.20
280,1.041,32176,0,0,0,0,0,1.20,1.20
281,1.041,16771,0,0,0,0,0,1.20,1.20
282,1.041,27219,0,0,0,0,0,1.20,1.20
283,1.041,41095,0,0,0,0,0,1.20,1.20
284,1.113,7025,0,0,0,0,0,1.20,1.20
285,1.113,29268,0,0,0,0,0,1.20,1.20
286,1.113,35032,0,0,0,0,0,1.20,1.20
287,1.113,16547,0,0,0,0,0,1.20,1.20
288,1.113,1473,0,0,0,0,0,1.20,1.20
289,1.141,30078,0,0,0,0,0,1.20,1.20
290,1.141,16553,0,0,0,0,0,1.20,1.20
291,1.141,7359,0,0,0,0,0,1.20,1.20
292,1.141,5433,0,0,0,0,0,1.20,1.20
293,0.736,11892,0,0,0,0,0,1.20,1.20
294,0.736,34013,0,0,0,0,0,1.20,1.20
295,1.102,14571,0,0,0,0,0,1.20,1.20
296,1.102,6301,0,0,0,0,0,1.20,1.20
297,1.102,6703,0,0,0,0,0,1.20,1.20
298,1.102,39643,0,0,0,0,0,1.20,1.20
299,1.102,11152,0,0,0,0,0,1.20,1.20
300,1.102,27920,0,0,0,0,0,1.20,1.20
301,1.124,22709,0,0,0,0,0,1.20,1.20
302,1.124,41438,0,0,0,0,0,1.20,1.20
303,1.124,3653,0,0,0,0,0,1.20,1.20
304,1.124,2975,0,0,0,0,0,1.20,1.20
305,1.124,34776,0,0,0,0,0,1.20,1.20
306,1.124,40228,0,0,0,0,0,1.20,1.20
307,1.124,36346,0,0,0,0,0,1.20,1.20
308,1.124,7217,0,0,0,0,0,1.20,1.20
309,1.124,25446,0,0,0,0,0,1.20,1.20
310,1.124,41522,0,0,0,0,0,1.20,1.20
311,1.124,26204,0,0,0,0,0,1.20,1.20
312,1.124,38499,0,0,0,0,0,1.20,1.20
313,1.124,39605,0,0,0,0,0,1.20,1.20
314,1.160,21778,0,0,0,0,0,1.20,1.20
315,1.160,41486,0,0,0,0,0,1.20,1.20
316,1.160,8353,0,0,0,0,0,1.20,1.20
317,1.160,7310,0,0,0,0,0,1.20,1.20
318,1.160,24011,0,0,0,0,0,1.20,1.20
319,1.160,10747,0,0,0,0,0,1.20,1.20
320,1.160,24857,0,0,0,0,0,1.20,1.20
321,1.160,23102,0,0,0,0,0,1.20,1.20
322,1.160,29900,0,0,0,0,0,1.20,1.20
323,1.160,28749,0,0,0,0,0,1.20,1.20
324,1.160,19810,0,0,0,0,0,1.20,1.20
325,1.160,22294,0,0,0,0,0,1.20,1.20
326,1.160,20584,0,0,0,0,0,1.20,1.20
327,1.086,15687,0,0,0,0,0,1.20,1.20
328,1.086,40329,0,0,0,0,0,1.20,1.20
329,1.086,7699,0,0,0,0,0,1.20,1.20
330,1.086,33162,0,0,0,0,0,1.20,1.20
331,0.861,29183,0,0,0,0,0,1.20,1.20
332,0.861,12396,0,0,0,0,0,1.20,1.20
333,0.861,33524,0,0,0,0,0,1.20,1.20
334,0.659,5743,0,0,0,0,0,1.20,1.20
335,0.659,2151,0,0,0,0,0,1.20,1.20
336,0.892,40737,0,0,0,0,0,1.20,1.20
337,0.892,37801,0,0,0,0,0,1.20,1.20
338,1.115,10237,0,0,0,0,0,1.20,1.20
339,0.574,21438,0,0,0,0,0,1.20,1.20
340,0.601,42268,0,0,0,0,0,1.20,1.20
341,0.646,9251,0,0,0,0,0,1.20,1.20
342,0.646,41031,0,0,0,0,0,1.20,1.20
343,0.663,15729,0,0,0,0,0,1.20,1.20
344,0.663,27779,0,0,0,0,0,1.20,1.20
345,0.967,32016,0,0,0,0,0,1.20,1.20
346,0.967,30152,0,0,0,0,0,1.20,1.20
347,0.967,44245,0,0,0,0,0,1.20,1.20
348,0.967,27693,0,0,0,0,0,1.20,1.20
349,0.967,44292,0,0,0,0,0,1.20,1.20
350,1.190,29183,0,0,0,0,0,1.20,1.20
351,1.190,5515,0,0,0,0,0,1.20,1.20
352,1.190,27684,0,0,0,0,0,1.20,1.20
353,1.190,9589,0,0,0,0,0,1.20,1.20
354,1.190,6841,0,0,0,0,0,1.20,1.20
355,1.190,25523,0,0,0,0,0,1.20,1.20
356,1.190,25266,0,0,0,0,0,1.20,1.20
357,1.190,22051,0,0,0,0,0,1.20,1.20
358,1.190,4590,0,0,0,0,0,1.20,1.20
359,1.190,31332,0,0,0,0,0,1.20,1.20
360,1.190,44842,0,0,0,0,0,1.20,1.20
361,1.190,33196,0,0,0,0,0,1.20,1.20
362,1.190,423,0,0,0,0,0,1.20,1.20
363,1.151,17995,0,0,0,0,0,1.20,1.20
364,1.151,44132,0,0,0,0,0,1.20,1.20
365,1.151,15479,0,0,0,0,0,1.20,1.20
366,1.151,43449,0,0,0,0,0,1.20,1.20
367,1.143,15728,0,0,0,0,0,1.20,1.20
368,1.143,34570,0,0,0,0,0,1.20,1.20
369,1.143,25055,0,0,0,0,0,1.20,1.20
370,1.143,32465,0,0,0,0,0,1.20,1.20
371,0.954,15519,0,0,0,0,0,1.20,1.20
372,0.954,22510,0,0,0,0,0,1.20,1.20
373,1.012,11532,0,0,0,0,0,1.20,1.20
374,0.758,25757,0,0,0,0,0,1.20,1.20
375,0.721,18177,0,0,0,0,0,1.20,1.20
376,0.661,5682,0,0,0,0,0,1.20,1.20
377,0.661,41946,0,0,0,0,0,1.20,1.20
378,0.574,16410,0,0,0,0,0,1.20,1.20
379,0.992,7999,0,0,0,0,0,1.20,1.20
380,0.521,30647,0,0,0,0,0,1.20,1.20
381,0.578,45868,0,0,0,0,0,1.20,1.20
382,0.472,3073,0,0,0,0,0,1.20,1.20
383,0.922,31326,0,0,0,0,0,1.20,1.20
384,0.889,45911,0,0,0,0,0,1.20,1.20
385,0.775,23656,0,0,0,0,0,1.20,1.20
386,0.862,17866,0,0,0,0,0,1.20,1.20
387,0.983,17323,0,0,0,0,0,1.20,1.20
388,0.603,38547,0,0,0,0,0,1.20,1.20
389,0.603,21909,0,0,0,0,0,1.20,1.20
390,0.898,19217,0,0,0,0,0,1.20,1.20
391,1.068,31603,0,0,0,0,0,1.20,1.20
392,0.617,31326,0,0,0,0,0,1.20,1.20
393,0.617,19136,0,0,0,0,0,1.20,1.20
394,0.610,3996,0,0,0,0,0,1.20,1.20
395,0.610,967,0,0,0,0,0,1.20,1.20
396,1.174,23178,0,0,0,0,0,1.20,1.20
397,1.174,37676,0,0,0,0,0,1.20,1.20
398,0.775,2039,0,0,0,0,0,1.20,1.20
399,0.775,23704,0,0,0,0,0,1.20,1.20
400,0.721,35825,0,0,0,0,0,1.20,1.20
401,0.721,29376,0,0,0,0,0,1.20,1.20
402,0.653,29057,0,0,0,0,0,1.20,1.20
403,0.653,1704,0,0,0,0,0,1.20,1.20
404,0.647,15261,0,0,0,0,0,1.20,1.20
405,0.647,2126,0,0,0,0,0,1.20,1.20
406,0.662,42426,0,0,0,0,0,1.20,1.20
407,0.717,21329,0,0,0,0,0,1.20,1.20
408,0.717,40181,0,0,0,0,0,1.20,1.20
409,0.896,6954,0,0,0,0,0,1.20,1.20
410,0.896,36078,0,0,0,0,0,1.20,1.20
411,1.033,23128,0,0,0,0,0,1.20,1.20
412,0.882,5952,0,0,0,0,0,1.20,1.20
413,0.882,22269,0,0,0,0,0,1.20,1.20
414,0.735,2352,0,0,0,0,0,1.20,1.20
415,0.630,25884,0,0,0,0,0,1.20,1.20
416,0.630,7203,0,0,0,0,0,1.20,1.20
417,0.656,12932,0,0,0,0,0,1.20,1.20
418,0.656,39484,0,0,0,0,0,1.20,1.20
419,1.072,21219,0,0,0,0,0,1.20,1.20
420,0.850,30669,0,0,0,0,0,1.20,1.20
421,1.109,36045,0,0,0,0,0,1.20,1.20
422,1.109,20525,0,0,0,0,0,1.20,1.20
423,1.109,30065,0,0,0,0,0,1.20,1.20
424,1.109,15339,0,0,0,0,0,1.20,1.20
425,1.109,41819,0,0,0,0,0,1.20,1.20
426,1.109,43454,0,0,0,0,0,1.20,1.20
427,1.109,661,0,0,0,0,0,1.20,1.20
428,1.109,25950,0,0,0,0,0,1.20,1.20
429,1.109,2388,0,0,0,0,0,1.20,1.20
430,1.109,20385,0,0,0,0,0,1.20,1.20
431,1.109,45706,0,0,0,0,0,1.20,1.20
432,1.109,28191,0,0,0,0,0,1.20,1.20
433,1.111,22912,0,0,0,0,0,1.20,1.20
434,1.111,34501,0,0,0,0,0,1.20,1.20
435,1.111,45419,0,0,0,0,0,1.20,1.20
436,1.111,8167,0,0,0,0,0,1.20,1.20
437,1.111,38926,0,0,0,0,0,1.20,1.20
438,1.111,43470,0,0,0,0,0,1.20,1.20
439,1.111,44428,0,0,0,0,0,1.20,1.20
440,1.111,38820,0,0,0,0,0,1.20,1.20
441,1.111,6829,0,0,0,0,0,1.20,1.20
442,1.111,18884,0,0,0,0,0,1.20,1.20
443,1.111,28514,0,0,0,0,0,1.20,1.20
444,1.196,20618,0,0,0,0,0,1.20,1.20
445,1.196,41148,0,0,0,0,0,1.20,1.20
446,1.196,27813,0,0,0,0,0,1.20,1.20
447,1.196,39203,0,0,0,0,0,1.20,1.20
448,1.196,17120,0,0,0,0,0,1.20,1.20
449,1.196,41626,0,0,0,0,0,1.20,1.20
450,1.196,15202,0,0,0,0,0,1.20,1.20
451,1.196,6775,0,0,0,0,0,1.20,1.20
452,1.196,16050,0,0,0,0,0,1.20,1.20
453,1.196,2953,0,0,0,0,0,1.20,1.20
454,1.196,6023,0,0,0,0,0,1.20,1.20
455,1.196,12689,0,0,0,0,0,1.20,1.20
456,1.196,28667,0,0,0,0,0,1.20,1.20
457,1.196,27250,0,0,0,0,0,1.20,1.20
458,1.196,33397,0,0,0,0,0,1.20,1.20
459,1.196,17485,0,0,0,0,0,1.20,1.20
460,1.196,26266,0,0,0,0,0,1.20,1.20
461,1.196,35817,0,0,0,0,0,1.20,1.20
462,1.196,12803,0,0,0,0,0,1.20,1.20
463,1.196,16342,0,0,0,0,0,1.20,1.20
464,1.196,43708,0,0,0,0,0,1.20,1.20
465,1.196,29679,0,0,0,0,0,1.20,1.20
466,1.196,16210,0,0,0,0,0,1.20,1.20
467,1.196,41341,0,0,0,0,0,1.20,1.20
468,1.196,27802,0,0,0,0,0,1.20,1.20
469,1.136,31772,0,0,0,0,0,1.20,1.20
470,1.136,35925,0,0,0,0,0,1.20,1.20
471,1.136,2810,0,0,0,0,0,1.20,1.20
472,1.136,25278,0,0,0,0,0,1.20,1.20
473,1.136,45984,0,0,0,0,0,1.20,1.20
474,1.136,28801,0,0,0,0,0,1.20,1.20
475,1.136,32937,0,0,0,0,0,1.20,1.20
476,1.173,9764,0,0,0,0,0,1.20,1.20
477,1.173,29771,0,0,0,0,0,1.20,1.20
478,1.173,1337,0,0,0,0,0,1.20,1.20
479,1.173,24830,0,0,0,0,0,1.20,1.20
480,1.173,37452,0,0,0,0,0,1.20,1.20
481,1.173,43901,0,0,0,0,0,1.20,1.20
482,1.173,1366,0,0,0,0,0,1.20,1.20
483,1.173,33065,0,0,0,0,0,1.20,1.20
484,1.173,31643,0,0,0,0,0,1.20,1.20
485,1.173,28505,0,0,0,0,0,1.20,1.20
486,1.173,37200,0,0,0,0,0,1.20,1.20
487,1.173,26739,0,0,0,0,0,1.20,1.20
488,1.173,20688,0,0,0,0,0,1.20,1.20
489,1.173,13390,0,0,0,0,0,1.20,1.20
490,1.173,35443,0,0,0,0,0,1.20,1.20
491,1.173,43457,0,0,0,0,0,1.20,1.20
492,1.173,18636,0,0,0,0,0,1.20,1.20
493,1.173,33763,0,0,0,0,0,1.20,1.20
494,1.173,14178,0,0,0,0,0,1.20,1.20
495,1.173,36416,0,0,0,0,0,1.20,1.20
496,1.173,17028,0,0,0,0,0,1.20,1.20
497,1.173,31305,0,0,0,0,0,1.20,1.20
498,1.173,31437,0,0,0,0,0,1.20,1.20
499,1.173,7636,0,0,0,0,0,1.20,1.20
500,1.173,26,0,0,0,0,0,1.20,1.20
501,1.173,24220,0,0,0,0,0,1.20,1.20
502,1.173,32039,0,0,0,0,0,1.20,1.20
503,1.173,7911,0,0,0,0,0,1.20,1.20
504,1.173,43386,0,0,0,0,0,1.20,1.20
505,1.173,15715,0,0,0,0,0,1.20,1.20
506,1.173,6375,0,0,0,0,0,1.20,1.20
507,1.173,2112,0,0,0,0,0,1.20,1.20
508,1.178,41197,0,0,0,0,0,1.20,1.20
509,1.178,13565,0,0,0,0,0,1.20,1.20
510,1.178,1995,0,0,0,0,0,1.20,1.20
511,1.178,11839,0,0,0,0,0,1.20,1.20
512,1.178,1109,0,0,0,0,0,1.20,1.20
513,1.178,43002,0,0,0,0,0,1.20,1.20
514,1.178,11360,0,0,0,0,0,1.20,1.20
