ID,LID,Width,Color,type,LinkId
451,5386,10,W,1,0
452,5387,10,W,1,0
453,5388,10,W,1,0
454,5389,10,W,1,0
455,5390,10,W,1,0
456,5391,10,W,0,0
457,5392,10,W,0,0
458,5393,10,W,0,0
459,5394,10,W,0,0
460,5395,10,W,0,0
461,5396,10,W,0,0
462,5397,10,W,0,0
463,5398,10,W,0,0
464,5399,10,W,0,0
465,5400,10,W,0,0
466,5401,10,W,0,0
467,5402,10,W,0,0
468,5403,10,W,0,0
469,5404,10,W,0,0
470,5405,10,W,0,0
471,5406,10,W,0,0
472,5407,10,W,0,0
473,5408,10,W,1,0
474,5409,10,W,1,0
475,5410,10,W,1,0
476,5411,10,W,1,0
477,5412,10,W,1,0
478,5413,10,W,1,0
479,5414,10,W,1,0
480,5415,10,W,1,0
481,5416,10,W,1,0
482,5417,10,W,1,0
483,5418,10,W,1,0
484,5419,10,W,1,0
485,5420,10,W,1,0
486,5421,10,W,0,0
487,5422,10,W,0,0
488,5423,10,W,0,0
489,5424,10,W,0,0
490,5425,10,W,0,0
491,5426,10,W,0,0
492,5427,10,W,0,0
493,5428,10,W,0,0
494,5429,10,W,0,0
495,5430,10,W,0,0
496,5431,10,W,0,0
497,5432,10,W,0,0
498,5433,10,W,0,0
499,5434,10,W,0,0
500,5435,10,W,0,0
501,5436,10,W,0,0
502,5437,10,W,0,0
503,5438,10,W,0,0
504,5439,10,W,0,0
505,5440,10,W,1,0
506,5441,10,W,1,0
507,5442,10,W,1,0
508,5443,10,W,1,0
509,5444,10,W,1,0
510,5445,10,W,1,0
511,5446,10,W,1,0
512,5447,10,W,1,0
513,5448,10,W,1,0
514,5449,10,W,1,0
515,5450,10,W,1,0
516,5451,10,W,0,0
517,5452,10,W,0,0
518,5453,10,W,0,0
519,5454,10,W,0,0
520,5455,10,W,0,0
521,5456,10,W,0,0
522,5457,10,W,0,0
523,5458,10,W,0,0
524,5459,10,W,0,0
525,5460,10,W,0,0
526,5461,10,W,0,0
527,5462,10,W,0,0
528,5463,10,W,0,0
529,5464,10,W,0,0
530,5465,10,W,0,0
531,5466,10,W,0,0
532,5467,10,W,0,0
533,5468,10,W,0,0
534,5469,10,W,0,0
535,5470,10,W,0,0
536,5471,10,W,0,0
537,5472,10,W,0,0
538,5473,10,W,0,0
539,5474,10,W,0,0
540,5475,10,W,0,0
541,5476,10,W,0,0
542,5477,10,W,0,0
543,5478,10,W,0,0
544,5479,10,W,0,0
545,5480,10,W,0,0
546,5481,10,W,0,0
547,5482,10,W,0,0
548,5483,10,W,0,0
549,5484,10,W,0,0
550,5485,10,W,0,0
551,5486,10,W,0,0
552,5487,10,W,0,0
553,5488,10,W,0,0
554,5489,10,W,0,0
555,5490,10,W,0,0
556,5491,10,W,0,0
557,5492,10,W,1,0
558,5493,10,W,1,0
559,5494,10,W,0,0
560,5495,10,W,0,0
561,5496,10,W,0,0
562,5497,10,W,0,0
563,5498,10,W,0,0
564,5499,10,W,0,0
565,5500,10,W,0,0
566,5501,10,W,1,0
567,5502,10,W,1,0
568,5503,10,W,1,0
569,5504,10,W,1,0
570,5505,10,W,1,0
571,5506,10,W,1,0
572,5507,10,W,1,0
573,5508,10,W,1,0
574,5509,10,W,1,0
575,5510,10,W,1,0
576,5511,10,W,1,0
577,5512,10,W,0,0
578,5513,10,W,0,0
579,5514,10,W,0,0
580,5515,10,W,0,0
581,5516,10,W,0,0
582,5517,10,W,0,0
583,5518,10,W,0,0
584,5519,10,W,0,0
585,5520,10,W,0,0
586,5521,10,W,0,0
587,5522,10,W,0,0
588,5523,10,W,0,0
589,5524,10,W,0,0
590,5525,10,W,0,0
591,5526,10,W,0,0
592,5527,10,W,0,0
593,5528,10,W,0,0
594,5529,10,W,0,0
595,5530,10,W,0,0
596,5531,10,W,0,0
597,5532,10,W,0,0
598,5533,10,W,0,0
599,5534,10,W,0,0
600,5535,10,W,0,0
601,5536,10,W,0,0
602,5537,10,W,0,0
603,5538,10,W,0,0
604,5539,10,W,0,0
605,5540,10,W,0,0
606,5541,10,W,0,0
607,5542,10,W,0,0
608,5543,10,W,1,0
609,5544,10,W,1,0
610,5545,10,W,1,0
611,5546,10,W,1,0
612,5547,10,W,0,0
613,5548,10,W,0,0
614,5549,10,W,0,0
615,5550,10,W,0,0
616,5551,10,W,0,0
617,5552,10,W,0,0
618,5553,10,W,0,0
619,5554,10,W,0,0
620,5555,10,W,0,0
621,5556,10,W,0,0
622,5557,10,W,0,0
623,5558,10,W,0,0
624,5559,10,W,0,0
625,5560,10,W,0,0
626,5561,10,W,0,0
627,5562,10,W,0,0
628,5563,10,W,1,0
629,5564,10,W,1,0
630,5565,10,W,1,0
631,5566,10,W,1,0
632,5567,10,W,1,0
633,5568,10,W,1,0
634,5569,10,W,1,0
635,5570,10,W,1,0
636,5571,10,W,1,0
637,5572,10,W,1,0
638,5573,10,W,1,0
639,5574,10,W,1,0
640,5575,10,W,1,0
641,5576,10,W,1,0
642,5577,10,W,0,0
643,5578,10,W,0,0
644,5579,10,W,0,0
645,5580,10,W,0,0
646,5581,10,W,0,0
647,5582,10,W,0,0
648,5583,10,W,0,0
649,5584,10,W,0,0
650,5585,10,W,0,0
651,5586,10,W,0,0
652,5587,10,W,0,0
653,5588,10,W,0,0
654,5589,10,W,0,0
655,5590,10,W,0,0
656,5591,10,W,0,0
657,5592,10,W,0,0
658,5593,10,W,0,0
659,5594,10,W,0,0
660,5595,10,W,0,0
661,5596,10,W,1,0
662,5597,10,W,1,0
663,5598,10,W,1,0
664,5599,10,W,1,0
665,5600,10,W,1,0
666,5601,10,W,1,0
667,5602,10,W,1,0
668,5603,10,W,1,0
669,5604,10,W,1,0
670,5605,10,W,1,0
671,5606,10,W,1,0
672,5607,10,W,1,0
673,5608,10,W,0,0
674,5609,10,W,0,0
675,5610,10,W,0,0
676,5611,10,W,0,0
677,5612,10,W,0,0
678,5613,10,W,0,0
679,5614,10,W,0,0
680,5615,10,W,0,0
681,5616,10,W,0,0
682,5617,10,W,0,0
683,5618,10,W,0,0
684,5619,10,W,0,0
685,5620,10,W,0,0
686,5621,10,W,0,0
687,5622,10,W,0,0
688,5623,10,W,0,0
689,5624,10,W,0,0
690,5625,10,W,0,0
691,5626,10,W,0,0
692,5627,10,W,0,0
693,5628,10,W,0,0
694,5629,10,W,0,0
695,5630,10,W,0,0
696,5631,10,W,1,0
697,5632,10,W,1,0
698,5633,10,W,1,0
699,5634,10,W,1,0
700,5635,10,W,1,0
