PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
38739,0.0,0.0,33.78125,11703.012,11301.879,0,0,0,0
38929,0.0,0.0,35.434376,11736.671,11700.306,0,0,0,0
39071,0.0,0.0,34.58125,11966.715,11815.908,0,0,0,0
41104,0.0,0.0,54.575,9911.609,11567.7705,0,0,0,0
41619,0.0,0.0,52.245625,11303.925,10356.121,0,0,0,0
41905,0.0,0.0,49.087498,8772.751,10691.751,0,0,0,0
42325,0.0,0.0,37.770626,10833.918,11433.743,0,0,0,0
43553,0.0,0.0,33.817497,11427.368,11163.742,0,0,0,0
44404,0.0,0.0,34.511875,11604.87,11321.6,0,0,0,0
8993,0.0,0.0,54.706875,9937.334,11570.959,0,0,0,0
10889,0.0,0.0,35.13,11193.204,11217.006,0,0,0,0
2266,0.0,0.0,49.12937,8507.44,10510.8125,0,0,0,0
2267,0.0,0.0,42.109375,7856.98,9647.901,0,0,0,0
2268,0.0,0.0,49.122498,8501.549,10506.897,0,0,0,0
2269,0.0,0.0,55.07625,11907.671,9893.552,0,0,0,0
2270,0.0,0.0,35.32375,11316.024,10911.345,0,0,0,0
2271,0.0,0.0,49.243748,8610.143,10581.685,0,0,0,0
2272,0.0,0.0,50.730625,11504.972,10585.025,0,0,0,0
2273,0.0,0.0,58.87875,10353.03,11584.417,0,0,0,0
2274,0.0,0.0,48.07375,10110.585,8311.05,0,0,0,0
2275,0.0,0.0,61.015,11935.936,8581.78,0,0,0,0
2276,0.0,0.0,59.47125,11434.496,9055.446,0,0,0,0
2277,0.0,0.0,35.986874,11801.798,11487.672,0,0,0,0
2278,0.0,0.0,55.074375,11210.295,7491.0723,0,0,0,0
2279,0.0,0.0,51.553123,9427.671,11298.491,0,0,0,0
2280,0.0,0.0,35.53375,11815.391,11702.006,0,0,0,0
2281,0.0,0.0,49.435623,8895.05,10787.097,0,0,0,0
2282,0.0,0.0,60.62937,11892.053,8349.56,0,0,0,0
2283,0.0,0.0,42.9675,8223.017,10159.136,0,0,0,0
2284,0.0,0.0,51.359375,11359.44,9538.184,0,0,0,0
2285,0.0,0.0,35.55125,11586.421,11622.576,0,0,0,0
2286,0.0,0.0,55.149998,11876.455,10168.635,0,0,0,0
2287,0.0,0.0,58.85125,10350.646,11584.321,0,0,0,0
2288,0.0,0.0,52.524998,11063.694,7600.427,0,0,0,0
2289,0.0,0.0,36.6,11219.249,11082.464,0,0,0,0
2290,0.0,0.0,39.926876,10983.818,11464.125,0,0,0,0
2291,0.0,0.0,52.575,11347.364,9683.568,0,0,0,0
2292,0.0,0.0,34.0725,11503.108,11242.259,0,0,0,0
2293,0.0,0.0,48.58125,10778.724,11598.537,0,0,0,0
2294,0.0,0.0,60.825623,10665.12,11758.556,0,0,0,0
2295,0.0,0.0,35.8225,11697.772,11679.31,0,0,0,0
2296,0.0,0.0,53.552498,9678.989,11495.712,0,0,0,0
2297,0.0,0.0,53.295624,11848.984,10323.63,0,0,0,0
2298,0.0,0.0,59.5975,11647.725,8286.682,0,0,0,0
2299,0.0,0.0,59.441875,11432.507,9055.338,0,0,0,0
2300,0.0,0.0,45.835625,10810.121,11591.781,0,0,0,0
2301,0.0,0.0,48.155624,11276.242,10554.683,0,0,0,0
2302,0.0,0.0,55.981873,11474.14,7293.9897,0,0,0,0
2303,0.0,0.0,49.184998,7998.092,10229.362,0,0,0,0
2304,0.0,0.0,60.58875,11806.6045,8295.459,0,0,0,0
2305,0.0,0.0,55.03375,11351.471,9873.241,0,0,0,0
2306,0.0,0.0,37.53125,11089.049,11346.357,0,0,0,0
2307,0.0,0.0,48.974373,8397.83,10433.497,0,0,0,0
2308,0.0,0.0,43.950623,10910.453,11587.873,0,0,0,0
42280,0.0,0.0,49.2125,8590.519,10567.8955,0,0,0,0
42281,0.0,0.0,36.909374,11286.46,10793.294,0,0,0,0
42282,0.0,0.0,35.50375,11273.882,10883.944,0,0,0,0
42283,0.0,0.0,54.989998,11687.221,9710.028,0,0,0,0
42284,0.0,0.0,53.155,11312.589,10240.811,0,0,0,0
42285,0.0,0.0,52.4475,11358.977,9669.799,0,0,0,0
42286,0.0,0.0,59.74625,11563.517,8297.174,0,0,0,0
42287,0.0,0.0,59.126247,11503.197,8824.285,0,0,0,0
42288,0.0,0.0,36.205624,11831.461,11644.808,0,0,0,0
42289,0.0,0.0,49.558125,11307.59,10546.529,0,0,0,0
42290,0.0,0.0,60.762497,11842.267,8296.431,0,0,0,0
42291,0.0,0.0,35.01625,11318.201,10946.32,0,0,0,0
42292,0.0,0.0,59.296875,11573.789,8349.063,0,0,0,0
42293,0.0,0.0,49.256874,8598.122,10565.2,0,0,0,0
42294,0.0,0.0,50.274376,9085.575,10957.266,0,0,0,0
42295,0.0,0.0,54.35375,11920.313,9798.154,0,0,0,0
42296,0.0,0.0,47.837498,10057.326,8346.163,0,0,0,0
42297,0.0,0.0,58.14,11546.892,8625.677,0,0,0,0
42298,0.0,0.0,34.443123,11634.165,11345.768,0,0,0,0
42299,0.0,0.0,51.063747,11365.114,9510.682,0,0,0,0
42300,0.0,0.0,34.955624,11794.13,11732.016,0,0,0,0
42301,0.0,0.0,36.423748,11845.39,11645.245,0,0,0,0
42302,0.0,0.0,36.6,11218.792,11085.894,0,0,0,0
42303,0.0,0.0,35.841248,11648.52,11661.628,0,0,0,0
42304,0.0,0.0,59.296875,11487.038,8869.337,0,0,0,0
42305,0.0,0.0,48.971874,8369.763,10413.847,0,0,0,0
42306,0.0,0.0,34.92,10978.509,11234.201,0,0,0,0
42307,0.0,0.0,50.43625,10654.178,7900.895,0,0,0,0
42308,0.0,0.0,50.751873,9236.291,11126.183,0,0,0,0
42309,0.0,0.0,34.07375,11903.127,11769.363,0,0,0,0
42310,0.0,0.0,50.2625,9095.602,10967.895,0,0,0,0
42311,0.0,0.0,49.033123,8452.243,10478.565,0,0,0,0
42312,0.0,0.0,59.688747,11557.238,8291.717,0,0,0,0
42313,0.0,0.0,48.775623,10262.108,8198.072,0,0,0,0
42314,0.0,0.0,34.39875,11256.772,11271.935,0,0,0,0
42315,0.0,0.0,34.6625,11338.954,10986.013,0,0,0,0
42316,0.0,0.0,52.27375,11043.58,7615.432,0,0,0,0
42317,0.0,0.0,59.30375,11579.031,8356.581,0,0,0,0
42318,0.0,0.0,53.8075,11923.002,9735.409,0,0,0,0
42319,0.0,0.0,55.299374,11904.597,9961.024,0,0,0,0
42320,0.0,0.0,36.802498,11145.443,11293.528,0,0,0,0
42321,0.0,0.0,54.28125,11867.347,10226.965,0,0,0,0
42322,0.0,0.0,34.010624,11380.327,11104.126,0,0,0,0
42323,0.0,0.0,49.56125,11749.003,10593.144,0,0,0,0
42324,0.0,0.0,48.39125,11279.85,10551.15,0,0,0,0
49324,0.0,0.0,34.08625,11673.789,11356.149,0,0,0,0
49325,0.0,0.0,34.08625,11673.789,11356.149,0,0,0,0
49326,0.0,0.0,34.001873,11674.016,11358.027,0,0,0,0
49327,0.0,0.0,34.024998,11674.74,11360.469,0,0,0,0
49328,0.0,0.0,34.024998,11674.533,11359.891,0,0,0,0
49329,0.0,0.0,34.024998,11674.533,11359.891,0,0,0,0
49330,0.0,0.0,33.99125,11673.891,11351.748,0,0,0,0
49331,0.0,0.0,34.1025,11680.318,11366.386,0,0,0,0
49332,0.0,0.0,34.09,11674.3545,11349.706,0,0,0,0
49333,0.0,0.0,34.0675,11674.9375,11347.691,0,0,0,0
49334,0.0,0.0,34.021248,11675.817,11345.266,0,0,0,0
49335,0.0,0.0,34.021248,11675.817,11345.266,0,0,0,0
49336,0.0,0.0,34.131874,11675.953,11344.889,0,0,0,0
49337,0.0,0.0,34.735,11694.272,11410.867,0,0,0,0
49338,0.0,0.0,34.635,11699.176,11426.868,0,0,0,0
49339,0.0,0.0,34.603123,11707.234,11431.977,0,0,0,0
49340,0.0,0.0,34.489998,11719.367,11439.607,0,0,0,0
49341,0.0,0.0,34.610626,11708.518,11420.528,0,0,0,0
49342,0.0,0.0,34.638123,11705.387,11418.428,0,0,0,0
49343,0.0,0.0,34.230625,11695.227,11389.524,0,0,0,0
49344,0.0,0.0,34.153748,11688.275,11371.728,0,0,0,0
49345,0.0,0.0,34.153748,11688.275,11371.728,0,0,0,0
49346,0.0,0.0,34.153748,11688.1875,11371.668,0,0,0,0
49347,0.0,0.0,34.129375,11677.099,11342.49,0,0,0,0
49348,0.0,0.0,34.064373,11679.735,11338.395,0,0,0,0
49349,0.0,0.0,34.045,11681.67,11335.451,0,0,0,0
49350,0.0,0.0,34.199997,11699.9,11392.707,0,0,0,0
49351,0.0,0.0,34.044373,11698.594,11378.621,0,0,0,0
49352,0.0,0.0,34.095623,11705.735,11383.339,0,0,0,0
49353,0.0,0.0,34.216248,11709.756,11399.285,0,0,0,0
49354,0.0,0.0,34.56625,11715.26,11425.054,0,0,0,0
49355,0.0,0.0,34.473747,11723.55,11442.121,0,0,0,0
49356,0.0,0.0,34.545,11723.117,11430.502,0,0,0,0
49357,0.0,0.0,34.376873,11728.863,11445.586,0,0,0,0
49358,0.0,0.0,35.390625,11806.775,11693.579,0,0,0,0
49359,0.0,0.0,35.345623,11806.929,11693.274,0,0,0,0
49360,0.0,0.0,35.345623,11806.929,11693.274,0,0,0,0
49361,0.0,0.0,35.556248,11812.408,11682.383,0,0,0,0
49362,0.0,0.0,34.82375,11832.127,11747.332,0,0,0,0
49363,0.0,0.0,34.7225,11834.599,11751.009,0,0,0,0
49364,0.0,0.0,34.7225,11834.599,11751.009,0,0,0,0
49365,0.0,0.0,34.785,11834.209,11748.251,0,0,0,0
49366,0.0,0.0,34.785,11834.209,11748.251,0,0,0,0
49367,0.0,0.0,34.719997,11835.612,11748.927,0,0,0,0
49368,0.0,0.0,34.719997,11835.612,11748.927,0,0,0,0
49369,0.0,0.0,34.716873,11839.345,11750.725,0,0,0,0
13,0.0,0.0,48.76875,8303.741,10371.66,0,0,0,0
14,0.0,0.0,49.285625,8873.458,10770.158,0,0,0,0
15,0.0,0.0,48.486248,10207.42,8238.855,0,0,0,0
16,0.0,0.0,60.786873,10502.321,11588.562,0,0,0,0
17,0.0,0.0,49.985622,11665.701,10619.125,0,0,0,0
18,0.0,0.0,49.691875,11700.254,10631.423,0,0,0,0
19,0.0,0.0,36.150623,11167.056,11261.822,0,0,0,0
20,0.0,0.0,55.00625,11773.713,9700.483,0,0,0,0
21,0.0,0.0,33.900623,11401.232,11145.023,0,0,0,0
22,0.0,0.0,59.009373,10355.6455,11581.677,0,0,0,0
23,0.0,0.0,47.673748,9963.837,8420.626,0,0,0,0
24,0.0,0.0,58.96125,12292.931,9234.275,0,0,0,0
25,0.0,0.0,54.56687,9916.164,11568.628,0,0,0,0
26,0.0,0.0,34.735,11681.4,11405.746,0,0,0,0
27,0.0,0.0,47.673126,9960.611,8418.404,0,0,0,0
28,0.0,0.0,56.24625,11296.779,7421.98,0,0,0,0
