DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
320,1.160,24118,0,0,0,0,0,1.20,1.20
321,1.160,22428,0,0,0,0,0,1.20,1.20
322,1.160,29015,0,0,0,0,0,1.20,1.20
323,1.160,27891,0,0,0,0,0,1.20,1.20
324,1.160,19237,0,0,0,0,0,1.20,1.20
325,1.160,21648,0,0,0,0,0,1.20,1.20
326,1.160,19989,0,0,0,0,0,1.20,1.20
327,1.086,15235,0,0,0,0,0,1.20,1.20
328,1.086,39122,0,0,0,0,0,1.20,1.20
329,1.086,7475,0,0,0,0,0,1.20,1.20
330,1.086,32171,0,0,0,0,0,1.20,1.20
331,0.861,28314,0,0,0,0,0,1.20,1.20
332,0.861,12038,0,0,0,0,0,1.20,1.20
333,0.861,32519,0,0,0,0,0,1.20,1.20
334,0.659,5582,0,0,0,0,0,1.20,1.20
335,0.659,2097,0,0,0,0,0,1.20,1.20
336,0.892,39521,0,0,0,0,0,1.20,1.20
337,0.892,36679,0,0,0,0,0,1.20,1.20
338,1.115,9929,0,0,0,0,0,1.20,1.20
339,0.574,20814,0,0,0,0,0,1.20,1.20
340,0.601,40995,0,0,0,0,0,1.20,1.20
341,0.646,8984,0,0,0,0,0,1.20,1.20
342,0.646,39802,0,0,0,0,0,1.20,1.20
343,0.663,15276,0,0,0,0,0,1.20,1.20
344,0.663,26959,0,0,0,0,0,1.20,1.20
345,0.967,31067,0,0,0,0,0,1.20,1.20
346,0.967,29258,0,0,0,0,0,1.20,1.20
347,0.967,42915,0,0,0,0,0,1.20,1.20
348,0.967,26879,0,0,0,0,0,1.20,1.20
349,0.967,42961,0,0,0,0,0,1.20,1.20
350,1.190,28314,0,0,0,0,0,1.20,1.20
351,1.190,5356,0,0,0,0,0,1.20,1.20
352,1.190,26870,0,0,0,0,0,1.20,1.20
353,1.190,9311,0,0,0,0,0,1.20,1.20
354,1.190,6648,0,0,0,0,0,1.20,1.20
355,1.190,24771,0,0,0,0,0,1.20,1.20
356,1.190,24515,0,0,0,0,0,1.20,1.20
357,1.190,21409,0,0,0,0,0,1.20,1.20
358,1.190,4456,0,0,0,0,0,1.20,1.20
359,1.190,30401,0,0,0,0,0,1.20,1.20
360,1.190,43499,0,0,0,0,0,1.20,1.20
361,1.190,32202,0,0,0,0,0,1.20,1.20
362,1.190,408,0,0,0,0,0,1.20,1.20
363,1.151,17483,0,0,0,0,0,1.20,1.20
364,1.151,42805,0,0,0,0,0,1.20,1.20
365,1.151,15033,0,0,0,0,0,1.20,1.20
366,1.151,42146,0,0,0,0,0,1.20,1.20
367,1.143,15275,0,0,0,0,0,1.20,1.20
368,1.143,33531,0,0,0,0,0,1.20,1.20
369,1.143,24312,0,0,0,0,0,1.20,1.20
370,1.143,31498,0,0,0,0,0,1.20,1.20
371,0.954,15072,0,0,0,0,0,1.20,1.20
