wp_id,x,y,z,yaw,velocity,change_flag
312,10844.1309,11204.7156,58.5443,0.4750,19.3118,0
313,10845.0966,11205.1966,58.5495,0.4778,19.8437,0
314,10846.0902,11205.6902,58.5455,0.4808,20.4343,0
315,10847.0101,11206.1530,58.5516,0.4817,21.0099,0
316,10847.9565,11206.6307,58.5637,0.4824,21.6769,0
317,10848.9289,11207.1248,58.5804,0.4844,22.2788,0
318,10849.9336,11207.6299,58.5763,0.4841,22.9654,0
319,10850.8500,11208.0972,58.5803,0.4801,23.5748,0
320,10851.7879,11208.5716,58.6098,0.4799,24.0559,0
321,10852.7523,11209.0448,58.6296,0.4808,24.5532,0
322,10853.7303,11209.5366,58.6241,0.4790,25.0283,0
323,10854.7266,11210.0398,58.6323,0.4787,25.5200,0
324,10855.7488,11210.5426,58.6543,0.4780,26.0059,0
325,10856.6559,11210.9958,58.6814,0.4743,26.4557,0
326,10857.5830,11211.4549,58.6924,0.4734,27.0134,0
327,10858.5309,11211.9171,58.6893,0.4726,27.4652,0
328,10859.4942,11212.3891,58.6978,0.4719,27.9913,0
329,10860.4732,11212.8709,58.7196,0.4732,28.4971,0
330,10861.4685,11213.3645,58.7442,0.4739,28.9683,0
331,10862.4808,11213.8678,58.7595,0.4736,29.4267,0
332,10863.5108,11214.3808,58.7684,0.4723,29.9860,0
333,10864.4081,11214.8243,58.7763,0.4714,30.4154,0
334,10865.3175,11215.2729,58.7891,0.4690,30.7530,0
335,10866.2411,11215.7233,58.8038,0.4672,31.1572,0
336,10867.1768,11216.1772,58.8204,0.4659,31.5322,0
337,10868.1248,11216.6372,58.8323,0.4650,31.9955,0
338,10869.0854,11217.1002,58.8459,0.4644,32.3014,0
339,10870.0564,11217.5698,58.8656,0.4638,32.6782,0
340,10871.0387,11218.0460,58.8767,0.4648,33.0978,0
341,10872.0321,11218.5277,58.8863,0.4657,33.4331,0
342,10873.0348,11219.0150,58.9094,0.4646,33.7006,0
343,10874.0470,11219.5090,58.9403,0.4626,34.1124,0
344,10875.0727,11220.0009,58.9615,0.4622,34.4276,0
345,10876.1097,11220.4981,58.9674,0.4615,34.7669,0
346,10877.1576,11220.9974,58.9703,0.4616,35.0637,0
347,10878.2121,11221.5040,58.9742,0.4625,35.3549,0
348,10879.2766,11222.0115,58.9724,0.4659,35.5976,0
349,10880.3444,11222.5300,58.9819,0.4664,35.8274,0
350,10881.4171,11223.0565,59.0060,0.4668,36.1441,0
351,10882.3165,11223.4975,59.0230,0.4676,36.2772,0
352,10883.2210,11223.9413,59.0419,0.4681,36.4895,0
353,10884.1303,11224.3868,59.0605,0.4684,36.6602,0
354,10885.0450,11224.8361,59.0786,0.4690,36.9589,0
355,10885.9667,11225.2869,59.0915,0.4703,37.2033,0
356,10886.8947,11225.7420,59.1041,0.4712,37.4563,0
357,10887.8279,11226.2032,59.1185,0.4719,37.7188,0
358,10888.7675,11226.6703,59.1266,0.4720,38.0508,0
