ID,LID,Width,Color,type,LinkID
816,6796,10.0,W,1,0
817,6797,10.0,W,1,0
818,6798,10.0,W,1,0
819,6799,10.0,W,0,0
820,6800,10.0,W,0,0
821,6801,10.0,W,0,0
822,6802,10.0,W,0,0
823,6803,10.0,W,0,0
824,6804,10.0,W,0,0
825,6805,10.0,W,0,0
826,6806,10.0,W,0,0
827,6807,10.0,W,1,0
828,6808,10.0,W,1,0
829,6809,10.0,W,1,0
830,6810,10.0,W,1,0
831,6811,10.0,W,0,0
832,6812,10.0,W,0,0
833,6813,10.0,W,0,0
834,6814,10.0,W,0,0
835,6815,10.0,W,0,0
836,6816,10.0,W,0,0
837,6817,10.0,W,0,0
838,6818,10.0,W,0,0
839,6819,10.0,W,0,0
840,6820,10.0,W,0,0
841,6821,10.0,W,0,0
842,6822,10.0,W,0,0
843,6823,10.0,W,0,0
844,6824,10.0,W,0,0
845,6825,10.0,W,0,0
846,6826,10.0,W,0,0
847,6827,10.0,W,0,0
848,6828,10.0,W,0,0
849,6829,10.0,W,0,0
850,6830,10.0,W,0,0
851,6831,10.0,W,1,0
852,6832,10.0,W,1,0
853,6833,10.0,W,1,0
854,6834,10.0,W,1,0
855,6835,10.0,W,1,0
856,6836,10.0,W,0,0
857,6837,10.0,W,0,0
858,6838,10.0,W,0,0
859,6839,10.0,W,0,0
860,6840,10.0,W,0,0
861,6841,10.0,W,0,0
862,6842,10.0,W,0,0
863,6843,10.0,W,0,0
864,6844,10.0,W,0,0
865,6845,10.0,W,1,0
866,6846,10.0,W,1,0
867,6847,10.0,W,0,0
868,6848,10.0,W,0,0
869,6849,10.0,W,0,0
870,6850,10.0,W,0,0
871,6851,10.0,W,0,0
872,6852,10.0,W,0,0
873,6853,10.0,W,1,0
874,6854,10.0,W,1,0
875,6855,10.0,W,1,0
876,6856,10.0,W,1,0
877,6857,10.0,W,1,0
878,6858,10.0,W,1,0
879,6859,10.0,W,1,0
880,6860,10.0,W,1,0
881,6861,10.0,W,1,0
882,6862,10.0,W,1,0
883,6863,10.0,W,1,0
884,6864,10.0,W,1,0
885,6865,10.0,W,1,0
886,6866,10.0,W,1,0
887,6867,10.0,W,1,0
888,6868,10.0,W,1,0
889,6869,10.0,W,1,0
890,6870,10.0,W,1,0
891,6871,10.0,W,1,0
892,6872,10.0,W,0,0
893,6873,10.0,W,0,0
894,6874,10.0,W,0,0
895,6875,10.0,W,0,0
896,6876,10.0,W,0,0
897,6877,10.0,W,0,0
898,6878,10.0,W,0,0
899,6879,10.0,W,0,0
900,6880,10.0,W,0,0
901,6881,10.0,W,0,0
902,6882,10.0,W,0,0
903,6883,10.0,W,0,0
904,6884,10.0,W,0,0
905,6885,10.0,W,0,0
906,6886,10.0,W,0,0
907,6887,10.0,W,0,0
908,6888,10.0,W,0,0
909,6889,10.0,W,0,0
910,6890,10.0,W,0,0
911,6891,10.0,W,0,0
912,6892,10.0,W,0,0
913,6893,10.0,W,0,0
914,6894,10.0,W,0,0
915,6895,10.0,W,0,0
916,6896,10.0,W,0,0
917,6897,10.0,W,0,0
918,6898,10.0,W,0,0
919,6899,10.0,W,0,0
920,6900,10.0,W,0,0
921,6901,10.0,W,0,0
922,6902,10.0,W,0,0
923,6903,10.0,W,0,0
924,6904,10.0,W,0,0
925,6905,10.0,W,0,0
926,6906,10.0,W,0,0
927,6907,10.0,W,0,0
928,6908,10.0,W,0,0
